Date,Portfolio Value
2018-02-05,59699.47692871094
2018-02-06,60557.58819580078
2018-02-07,60175.90461730957
2018-02-08,58396.78047180176
2018-02-09,59051.5584564209
2018-02-12,59771.50680541992
2018-02-13,59967.52891540527
2018-02-14,60742.95570373535
2018-02-15,61421.96044921875
2018-02-16,61372.577896118164
2018-02-20,61087.7244567871
2018-02-21,60825.27374267578
2018-02-22,60902.93762207031
2018-02-23,61717.77297973633
2018-02-26,62302.680892944336
2018-02-27,61615.16784667969
2018-02-28,61169.93209838867
2018-03-01,60484.92874145508
2018-03-02,60810.06477355957
2018-03-05,61330.29335021973
2018-03-06,61555.16815185547
2018-03-07,61543.02101135254
2018-03-08,61764.58724975586
2018-03-09,62614.450759887695
2018-03-12,62654.599533081055
2018-03-13,62260.76454162598
2018-03-14,62088.98971557617
2018-03-15,61997.23922729492
2018-03-16,61982.1590423584
2018-03-19,61243.12309265137
2018-03-20,61304.57458496094
2018-03-21,61302.39242553711
2018-03-22,60110.86112976074
2018-03-23,59147.74223327637
2018-03-26,60523.60954284668
2018-03-27,59516.68754577637
2018-03-28,59196.49452209473
2018-03-29,59875.0732421875
2018-04-02,58851.82052612305
2018-04-03,59349.636001586914
2018-04-04,59910.7551574707
2018-04-05,60195.52490234375
2018-04-06,59189.784240722656
2018-04-09,59450.712890625
2018-04-10,60254.965591430664
2018-04-11,60067.152404785156
2018-04-12,60403.34327697754
2018-04-13,60287.11853027344
2018-04-16,60672.79769897461
2018-04-17,61314.04930114746
2018-04-18,61353.0680847168
2018-04-19,61014.2374420166
2018-04-20,60460.861587524414
2018-04-23,60368.020095825195
2018-04-24,59678.05435180664
2018-04-25,59710.28564453125
2018-04-26,60295.0853729248
2018-04-27,60369.61456298828
2018-04-30,59980.763931274414
2018-05-01,60122.91732788086
2018-05-02,59828.57765197754
2018-05-03,59784.73472595215
2018-05-04,60473.61785888672
2018-05-07,60702.11570739746
2018-05-08,60688.524475097656
2018-05-09,61134.7013092041
2018-05-10,61642.209701538086
2018-05-11,61723.94187927246
2018-05-14,61728.02070617676
2018-05-15,61217.01225280762
2018-05-16,61440.39344787598
2018-05-17,61370.87890625
2018-05-18,61242.68508911133
2018-05-21,61580.450286865234
2018-05-22,61453.974533081055
2018-05-23,61686.22718811035
2018-05-24,61682.43965148926
2018-05-25,61613.67805480957
2018-05-29,61221.66862487792
2018-05-30,61758.80447387695
2018-05-31,61510.12924194336
2018-06-01,62036.89468383789
2018-06-04,62299.997634887695
2018-06-05,62405.847244262695
2018-06-06,62768.39599609375
2018-06-07,62656.565170288086
2018-06-08,62766.434020996094
2018-06-11,62855.70877075195
2018-06-12,62959.543762207024
2018-06-13,62851.3427734375
2018-06-14,63106.14051818848
2018-06-15,62915.626068115234
2018-06-18,62833.243408203125
2018-06-19,62660.18226623535
2018-06-20,62778.91563415527
2018-06-21,62423.549575805664
2018-06-22,62473.54652404785
2018-06-25,61659.62463378906
2018-06-26,61772.22610473633
2018-06-27,61274.923934936516
2018-06-28,61567.77519226074
2018-06-29,61664.83299255371
2018-07-02,61766.500396728516
2018-07-03,61575.511474609375
2018-07-05,62057.41622924805
2018-07-06,62560.12481689453
2018-07-09,63011.048736572266
