Date,Historical Loss
2019-10-18,877.0056619217746
2019-10-21,-954.6237708193017
2019-10-22,582.9115492416998
2019-10-23,-427.14699802349713
2019-10-24,-761.3322275060539
2019-10-25,-785.4344486639192
2019-10-28,-827.7448046179176
2019-10-29,400.9176664598811
2019-10-30,-696.3199078753006
2019-10-31,2.002858412141303
2019-11-01,-1444.9749745114461
2019-11-04,-568.2179677608499
2019-11-05,482.2367139963068
2019-11-06,-37.59108691229697
2019-11-07,-112.45077951700249
2019-11-08,-311.5160820588306
2019-11-11,302.1168338259554
2019-11-12,-405.67124114816664
2019-11-13,-165.51116063983832
2019-11-14,-255.83605220233838
2019-11-15,-1069.1110331836994
2019-11-18,-196.37922527972484
2019-11-19,-84.42021332560219
2019-11-20,575.0992145464234
2019-11-21,443.8797070000644
2019-11-22,-251.8558359365826
2019-11-25,-1350.1537121857193
2019-11-26,-453.42931102417674
2019-11-27,-668.3514254006601
2019-11-29,519.2833474446828
2019-12-02,1464.0277017350838
2019-12-03,749.577890416068
2019-12-04,-835.1335360245179
2019-12-05,-257.17353985821416
2019-12-06,-1239.3222989216674
2019-12-09,542.6955721771924
2019-12-10,114.4103683877352
2019-12-11,-724.3720755376861
2019-12-12,-1086.1696987355651
2019-12-13,-367.0829571566719
2019-12-16,-1142.8024551664464
2019-12-17,-52.63931567341083
2019-12-18,-24.910531785094534
2019-12-19,-794.7833732495435
2019-12-20,-710.237562019482
2019-12-23,-293.26297951341377
2019-12-24,-225.45279322732847
2019-12-26,-1117.4184003326725
2019-12-27,62.508699925387475
2019-12-30,859.2709106664961
2019-12-31,-369.61023529477995
2020-01-02,-1880.919433819473
2020-01-03,870.2302438336537
2020-01-06,-856.903431156814
2020-01-07,245.27885913933721
2020-01-08,-721.6283659187995
2020-01-09,-1016.0051005909064
2020-01-10,282.1583873138988
2020-01-13,-1105.3625715928645
2020-01-14,291.93861588573236
2020-01-15,-416.8007664035941
2020-01-16,-1303.8003951929777
2020-01-17,-570.3606968733701
2020-01-21,170.58200185883072
2020-01-22,-168.34372698231226
2020-01-23,-345.5143339720595
2020-01-24,1232.6792730460904
2020-01-27,2437.3132522242595
2020-01-28,-1580.2359956772457
2020-01-29,-147.2519290081766
2020-01-30,-490.0664155773605
2020-01-31,2512.0110602097157
2020-02-03,-1373.8828255477097
2020-02-04,-2380.846030426867
2020-02-05,-1347.2547789317732
2020-02-06,-850.5766747447592
2020-02-07,679.6354760194026
2020-02-10,-1432.921894586145
2020-02-11,-136.75477076536026
2020-02-12,-1098.3789429886835
2020-02-13,28.910755467550146
2020-02-14,-403.9218352326431
2020-02-18,-8.03058347945741
2020-02-19,-1069.5185405355187
2020-02-20,702.6373750745015
2020-02-21,1652.8482351886114
2020-02-24,5091.1052700875725
2020-02-25,4831.844059076941
2020-02-26,164.16110480152116
2020-02-27,6969.259070877542
2020-02-28,1110.216972464046
2020-03-02,-6904.8695953188135
2020-03-03,3648.193422345608
2020-03-04,-6263.172469882812
2020-03-05,4398.826183753118
2020-03-06,2397.2787274571288
2020-03-09,11379.453258086352
2020-03-10,-6818.83071610375
2020-03-11,7624.859109313155
2020-03-12,16211.07996785801
2020-03-13,-12961.535653353281
2020-03-16,16833.2220124385
2020-03-17,-8329.836633875066
2020-03-18,7820.904046260937
2020-03-19,-200.25895953736114
2020-03-20,5280.309604360183
2020-03-23,1008.507518237759
2020-03-24,-13635.707849889868
2020-03-25,-1162.4899842724328
2020-03-26,-8687.408111746758
2020-03-27,4638.350508385694
2020-03-30,-4944.16538507877
2020-03-31,2835.5747586474417
2020-04-01,6179.693758784434
2020-04-02,-3647.4797297342625
2020-04-03,2064.566759716529
2020-04-06,-10705.035465507031
2020-04-07,9.025699086838952
2020-04-08,-4281.190611832664
2020-04-09,-2595.0647597863017
2020-04-13,263.7958262689769
2020-04-14,-5157.65493087905
2020-04-15,2774.892927374882
2020-04-16,-1303.534778704898
2020-04-17,-2771.3562326395977
2020-04-20,2199.309696307387
2020-04-21,4934.871125205981
2020-04-22,-4031.1440446199035
2020-04-23,-164.6779776310856
2020-04-24,-2062.5039303054727
2020-04-27,-1719.214145369172
2020-04-28,1305.4560338970098
2020-04-29,-4504.143217425181
2020-04-30,1517.2418631515588
2020-05-01,3945.852607911868
2020-05-04,-945.0605410722145
2020-05-05,-1538.1816069027768
2020-05-06,763.8788405843272
2020-05-07,-2274.23755126677
2020-05-08,-2208.904439717064
2020-05-11,-226.84898233867133
2020-05-12,2922.7764229951777
2020-05-13,2240.890782472568
2020-05-14,-1968.5975633536088
2020-05-15,-953.2527590193408
2020-05-18,-3856.5426165823933
2020-05-19,954.7826965171737
2020-05-20,-2834.974355821737
2020-05-21,1481.0361394504566
2020-05-22,-520.3275515965829
2020-05-26,-881.5360630674526
2020-05-27,-1879.0020838832518
2020-05-28,227.88574763921676
2020-05-29,-1321.0243203725731
2020-06-01,-727.1739995970419
2020-06-02,-1033.507304079664
2020-06-03,-1242.85008955957
2020-06-04,459.4479914177143
2020-06-05,-3198.2356748552756
2020-06-08,-1930.1661818591683
2020-06-09,312.4627922948385
2020-06-10,-282.57818128905586
2020-06-11,8620.14142198523
2020-06-12,-1725.8330871155872
2020-06-15,-1593.1791245115392
2020-06-16,-2771.2386485196143
2020-06-17,264.97028475094737
2020-06-18,-167.3515518717754
2020-06-19,369.40978505020075
