Date,Daily PnL
2023-07-17,517.2808837890625
2023-07-18,837.4107360839844
2023-07-19,161.07650756835938
2023-07-20,-1214.9415588378906
2023-07-21,-113.19381713867188
2023-07-24,259.0850830078125
2023-07-25,411.15020751953125
2023-07-26,-7.273101806640625
2023-07-27,-723.8848876953125
2023-07-28,1268.4132385253906
2023-07-31,197.74169921875
2023-08-01,-392.5993347167969
2023-08-02,-1619.5181274413917
2023-08-03,-278.19885253907705
2023-08-04,-319.163818359375
2023-08-07,738.9732360839844
2023-08-08,-558.5476684570312
2023-08-09,-789.3858337402344
2023-08-10,19.658966064453125
2023-08-11,-252.82211303710938
2023-08-14,618.6123657226708
2023-08-15,-1071.5798950195458
2023-08-16,-848.238525390625
2023-08-17,-810.0334167480469
2023-08-18,24.163055419921875
2023-08-21,822.7232360839844
2023-08-22,-181.48345947265625
2023-08-23,1285.1872253417969
2023-08-24,-1487.4784851074219
2023-08-25,633.424072265625
2023-08-28,644.9069213867188
2023-08-29,1657.750244140625
2023-08-30,447.4745178222656
2023-08-31,2.453155517578125
2023-09-01,80.74905395507812
2023-09-05,-381.77764892578125
2023-09-06,-723.0657958984375
2023-09-07,-372.97454833984375
2023-09-08,131.36520385742188
2023-09-11,752.3005676269531
2023-09-12,-699.6873474121094
2023-09-13,155.74844360351562
2023-09-14,767.4114990234375
2023-09-15,-1214.89501953125
2023-09-18,117.34344482421875
2023-09-19,-224.34112548828125
2023-09-20,-985.1344299316406
2023-09-21,-1656.6883850097656
2023-09-22,-69.0264892578125
2023-09-25,281.2361145019531
2023-09-26,-1386.0308837890625
2023-09-27,-35.16510009765625
2023-09-28,570.2201843261719
2023-09-29,-226.17080688476562
2023-10-02,52.799224853515625
2023-10-03,-1404.9858093261719
2023-10-04,856.1064147949219
2023-10-05,-118.560791015625
2023-10-06,1192.6509094238281
2023-10-09,760.6948852539062
2023-10-10,470.7615661621094
2023-10-11,550.7395935058594
2023-10-12,-601.4903259277344
2023-10-13,-366.8067932128906
2023-10-16,896.9071960449219
2023-10-17,-105.25848388671875
2023-10-18,-1123.4892272949219
2023-10-19,-729.268798828125
2023-10-20,-1103.9520263671875
2023-10-23,-38.598785400390625
2023-10-24,739.2317199707031
2023-10-25,-1567.9649353027344
2023-10-26,-1130.7821655273438
2023-10-27,-39.398193359375
2023-10-30,913.2562255859375
2023-10-31,446.6520690917969
2023-11-01,1133.6741638183594
2023-11-02,1727.7778625488281
2023-11-03,1002.734375
2023-11-06,117.940673828125
2023-11-07,450.3713989257958
2023-11-08,-19.810791015639552
2023-11-09,-736.075439453125
2023-11-10,1501.8276977539062
2023-11-13,-96.99676513671875
2023-11-14,2056.6441345214844
2023-11-15,95.96633911132812
2023-11-16,214.3701171875
2023-11-17,119.742431640625
2023-11-20,847.3460388183594
2023-11-21,-217.5466918945167
2023-11-22,344.7859191894386
2023-11-24,15.58135986328125
2023-11-27,-21.901702880844823
2023-11-28,293.1471252441261
2023-11-29,2.105865478515625
2023-11-30,112.11257934570312
2023-12-01,740.7331848144531
2023-12-04,-828.408203125
2023-12-05,44.202728271484375
2023-12-06,-380.20538330078125
2023-12-07,929.5965576171875
2023-12-08,258.4086608886719
2023-12-11,417.0465087890625
2023-12-12,545.5131530761719
2023-12-13,1636.31103515625
2023-12-14,354.190673828125
2023-12-15,-47.89794921875
2023-12-18,572.0106506347656
2023-12-19,672.2145080566406
2023-12-20,-1452.0010375976562
2023-12-21,1091.6157531738281
2023-12-22,224.0740966796875
2023-12-26,573.5964965820312
2023-12-27,283.6946105957031
2023-12-28,-84.50286865234375
2023-12-29,-387.4459838867042
2024-01-02,-1000.3720092773583
2024-01-03,-981.0073852539062
2024-01-04,-387.37213134765625
2024-01-05,107.16384887695312
2024-01-08,1547.1937561035156
