Date,SPY,QQQ,GLD,BND,VTI
2021-05-21,38655.1025390625,25359.36279296875,8801.99966430664,8686.623229980469,17982.099151611328
2021-05-24,39049.163818359375,25785.88134765625,8817.500305175781,8696.834106445312,18163.61801147461
2021-05-25,38962.53356933594,25821.55029296875,8897.49984741211,8719.288330078125,18113.429718017578
2021-05-26,39039.84375,25911.5087890625,8881.999969482422,8716.224060058594,18178.673400878903
2021-05-27,39060.345458984375,25814.5751953125,8885.50033569336,8703.975219726562,18212.136383056644
2021-05-28,39130.21240234375,25895.99853515625,8919.000244140625,8702.956237792969,18243.082122802738
2021-06-01,39095.74279785156,25809.91943359375,8894.999694824219,8702.340087890625,18250.61737060547
2021-06-02,39157.2265625,25860.3271484375,8938.500213623047,8711.545715332031,18274.873809814453
2021-06-03,39011.90185546875,25591.22802734375,8763.500213623047,8695.18798828125,18193.73428344727
2021-06-04,39368.69812011719,26025.5078125,8858.000183105469,8729.944152832031,18351.828918457028
2021-06-07,39330.49621582031,26103.056640625,8893.499755859375,8723.81103515625,18366.88568115234
2021-06-08,39338.88549804688,26115.46875,8866.000366210938,8740.166931152344,18404.528961181644
2021-06-09,39280.19409179688,26121.67236328125,8848.999786376953,8757.550964355469,18352.663879394528
2021-06-10,39462.78991699219,26393.86474609375,8887.000274658203,8775.9521484375,18433.804779052738
2021-06-11,39527.99377441406,26462.885742187496,8787.000274658203,8773.90869140625,18488.17886352539
2021-06-14,39616.50085449219,26716.47216796875,8735.50033569336,8751.417846679688,18516.61834716797
2021-06-15,39543.83239746094,26541.98974609375,8702.50015258789,8751.417846679688,18468.101348876953
2021-06-16,39323.046875,26445.05126953125,8555.500030517578,8726.880798339844,18376.088104248047
2021-06-17,39310.003662109375,26780.8349609375,8292.500305175781,8756.527404785156,18358.523712158203
2021-06-18,38779.69970703125,26570.6787109375,8246.499633789062,8784.13330078125,18130.995483398434
2021-06-21,39334.86633300781,26735.8251953125,8347.49984741211,8753.463134765625,18381.108856201172
2021-06-22,39545.159912109375,26985.03662109375,8312.5,8765.725708007812,18485.672607421875
2021-06-23,39497.50061035156,26998.23486328125,8306.999969482422,8759.596252441406,18478.141479492188
2021-06-24,39731.15234375,27165.15869140625,8301.99966430664,8763.684997558594,18603.57925415039
2021-06-25,39872.27783203125,27131.77490234375,8329.499816894531,8747.326354980469,18673.22158813477
2021-06-28,39952.6611328125,27461.74072265625,8329.000091552734,8770.838012695312,18694.197235107422
2021-06-29,39974.16076660156,27561.123046875,8241.500091552734,8774.929504394531,18695.0390625
2021-06-30,40007.80334472656,27517.6416015625,8281.500244140625,8781.066284179688,18695.876770019528
2021-07-01,40229.31213378906,27528.51806640625,8309.99984741211,8780.245056152344,18797.404174804688
2021-07-02,40536.810302734375,27844.50439453125,8364.49966430664,8795.604858398438,18901.444702148434
2021-07-06,40462.96691894531,27964.838867187496,8405.999755859375,8827.347106933594,18860.329742431644
2021-07-07,40605.963134765625,28023.84521484375,8437.999725341797,8845.777587890625,18885.502166748047
2021-07-08,40275.11291503906,27854.59716796875,8432.499694824219,8853.966979980469,18726.08367919922
2021-07-09,40705.03540039063,28028.510742187496,8460.50033569336,8826.321716308594,18952.628631591797
2021-07-12,40850.83618164063,28137.98095703125,8450.0,8823.251953125,19005.48797607422
2021-07-13,40711.58142089844,28137.98095703125,8461.000061035156,8795.604858398438,18899.769287109375
2021-07-14,40772.33276367188,28188.447265625,8551.99966430664,8825.301818847656,18873.756408691403
2021-07-15,40633.06884765625,27990.46630859375,8553.500366210938,8846.802978515625,18807.471771240238
2021-07-16,40314.361572265625,27763.759765625,8470.500183105469,8838.609008789062,18659.796295166012
2021-07-19,39719.00329589844,27536.2744140625,8480.500030517578,8888.782653808594,18394.654998779297
2021-07-20,40288.19580078125,27856.14990234375,8469.499969482422,8879.56787109375,18712.65838623047
2021-07-21,40614.38293457031,28071.206054687496,8437.999725341797,8850.899963378906,18880.46768188477
2021-07-22,40699.42626953125,28256.7626953125,8454.499816894531,8870.352172851562,18896.408843994144
2021-07-23,41118.15490722656,28586.73583984375,8427.999877929688,8860.113830566406,19085.197906494144
2021-07-26,41219.07653808594,28609.25048828125,8408.000183105469,8854.991455078125,19123.795623779297
2021-07-27,41031.22253417969,28294.033203125,8422.000122070312,8877.522583007812,19020.592803955078
2021-07-28,41014.40124511719,28402.72705078125,8464.49966430664,8885.708312988281,19049.95513916016
2021-07-29,41184.50927734375,28453.20068359375,8558.499908447266,8870.352172851562,19133.86322021484
2021-07-30,40984.49401855469,28304.90234375,8491.000366210938,8883.663024902344,19020.592803955078
2021-08-02,40898.50158691406,28307.2314453125,8480.500030517578,8904.789733886719,18993.739471435547
2021-08-03,41231.23474121094,28478.81591796875,8474.500274658203,8906.840515136719,19129.66781616211
2021-08-04,41028.42102050781,28519.9609375,8476.499938964844,8906.840515136719,19044.088439941403
2021-08-05,41288.25073242188,28700.86181640625,8443.000030517578,8886.329956054688,19180.011291503903
2021-08-06,41356.47583007813,28575.0830078125,8231.999969482422,8844.285278320312,19203.502807617188
2021-08-09,41322.83020019531,28627.88330078125,8086.000061035156,8827.876281738281,19195.95245361328
2021-08-10,41374.22790527344,28481.14501953125,8088.500213623047,8814.540710449219,19208.541412353512
2021-08-11,41477.044677734375,28432.2265625,8200.0,8820.693054199219,19246.297302246097
2021-08-12,41601.34887695313,28534.71435546875,8201.99966430664,8821.72119140625,19299.998474121097
2021-08-13,41677.05383300781,28634.8681640625,8319.499969482422,8856.588134765625,19310.903778076172
2021-08-16,41775.19226074219,28647.2900390625,8361.000061035156,8864.794006347656,19318.454132080078
2021-08-17,41501.33972167969,28394.970703125,8348.500061035156,8855.559997558594,19174.97955322266
2021-08-18,41047.10998535156,28121.674804687496,8355.000305175781,8853.510131835938,18983.671875
2021-08-19,41110.66589355469,28257.54150390625,8330.500030517578,8872.997131347656,18969.410247802738
2021-08-20,41437.79296875,28550.25146484375,8334.99984741211,8870.947265625,19139.736785888672
2021-08-23,41802.29187011719,28977.25830078125,8436.499786376953,8872.997131347656,19325.173645019528
2021-08-24,41868.658447265625,29065.76904296875,8432.499694824219,8855.559997558594,19393.971405029297
2021-08-25,41956.50939941406,29099.1455078125,8373.999786376953,8841.206359863281,19449.352111816403
2021-08-26,41708.831787109375,28914.365234375,8383.499908447266,8842.231750488281,19319.29595947266
2021-08-27,42081.74743652344,29195.42236328125,8509.500122070312,8867.865600585938,19527.378387451172
2021-08-30,42266.80603027344,29523.06640625,8467.500305175781,8878.125,19601.22161865234
2021-08-31,42204.18090820313,29498.99658203125,8484.500122070312,8866.841125488281,19564.29931640625
2021-09-01,42226.61437988281,29547.91015625,8484.99984741211,8868.385620117188,19598.703002929688
2021-09-02,42356.53076171875,29533.93310546875,8462.5,8880.707702636719,19664.98764038086
2021-09-03,42346.24328613281,29624.775390625,8552.999877929688,8862.221374511719,19658.27499389648
2021-09-07,42194.83337402344,29666.69189453125,8385.50033569336,8836.543579101562,19573.534698486328
2021-09-08,42143.43872070313,29563.43505859375,8364.49966430664,8850.923767089844,19527.378387451172
2021-09-09,41963.05541992188,29461.72607421875,8401.499938964844,8882.765808105469,19459.415588378903
2021-09-10,41632.18994140625,29238.125,8358.999633789062,8861.193237304688,19305.028839111328
2021-09-13,41738.73596191406,29217.93212890625,8387.000274658203,8874.549865722656,19348.666534423828
2021-09-14,41513.48876953125,29134.87060546875,8441.000366210938,8896.118774414062,19232.035675048828
2021-09-15,41860.24475097656,29351.47705078125,8391.500091552734,8887.899169921875,19390.613708496097
2021-09-16,41793.88122558594,29371.66259765625,8201.499938964844,8871.46728515625,19372.99713134766
2021-09-17,41386.77062988281,29023.84033203125,8188.500213623047,8860.168762207031,19217.771301269528
2021-09-20,40696.67663574219,28424.11865234375,8247.000122070312,8884.816589355469,18884.664459228512
2021-09-21,40658.23059082031,28459.0869140625,8301.99966430664,8882.765808105469,18882.987670898434
2021-09-22,41054.84008789063,28724.912109375,8270.999908447266,8892.007141113281,19073.453521728512
2021-09-23,41553.66516113281,28989.95361328125,8175.499725341797,8844.758605957031,19305.870666503903
2021-09-24,41622.10388183594,29017.153320312504,8165.000152587891,8826.270446777344,19328.935089111328
2021-09-27,41503.03649902344,28785.537109375,8181.999969482422,8816.0009765625,19286.84921264648
2021-09-28,40666.6748046875,27970.97412109375,8102.500152587891,8777.99560546875,18882.82699584961
2021-09-29,40735.12268066406,27925.11962890625,8066.0003662109375,8779.020080566406,18895.457153320312
2021-09-30,40237.23754882813,27822.5146484375,8211.000061035156,8776.972961425781,18690.91781616211
2021-10-01,40715.4296875,27995.07568359375,8229.499816894531,8806.8017578125,18948.48129272461
2021-10-04,40190.35034179688,27407.46826171875,8268.000030517578,8800.629272460938,18663.14437866211
2021-10-05,40608.54187011719,27777.44140625,8229.499816894531,8779.022827148438,18837.380676269528
2021-10-06,40777.31323242188,27955.43212890625,8251.499938964844,8783.141784667969,18915.65414428711
2021-10-07,41129.8583984375,28211.9287109375,8208.000183105469,8758.451843261719,19097.466888427738
2021-10-08,41054.84008789063,28071.23779296875,8211.499786376953,8736.844482421875,19055.379638671875
2021-10-11,40757.623291015625,27855.94482421875,8195.999908447266,8723.475952148438,18918.18099975586
2021-10-12,40657.30285644531,27758.784179687496,8233.000183105469,8755.364685058594,18904.71588134766
2021-10-13,40803.558349609375,27981.08154296875,8379.499816894531,8779.022827148438,18990.56854248047
2021-10-14,41489.90783691406,28496.39892578125,8400.0,8794.453125,19306.20986938477
2021-10-15,41805.88073730469,28675.9423828125,8266.500091552734,8772.851257324219,19420.67779541016
2021-10-18,41929.65087890625,28964.30419921875,8245.999908447266,8767.710571289062,19491.383056640625
2021-10-19,42253.13415527344,29183.48876953125,8272.49984741211,8743.020629882812,19633.63265991211
2021-10-20,42419.091796875,29145.40283203125,8344.999694824219,8732.73193359375,19710.227966308597
2021-10-21,42529.72412109375,29323.403320312504,8337.5,8720.390625,19764.09530639648
2021-10-22,42485.66284179688,29077.00927734375,8388.500213623047,8738.905334472656,19726.218566894528
2021-10-25,42713.50708007813,29374.68994140625,8446.499633789062,8743.020629882812,19847.42660522461
2021-10-26,42751.95617675781,29467.18505859375,8383.999633789062,8760.510864257812,19839.851531982422
2021-10-27,42562.55187988281,29535.58837890625,8405.999755859375,8792.399597167969,19704.335174560547
2021-10-28,42973.23303222656,29863.583984375,8404.000091552734,8781.088256835938,19914.76318359375
2021-10-29,43060.43090820313,30010.48583984375,8332.499694824219,8783.141784667969,19940.855712890625
2021-11-01,43134.50622558594,30113.0859375,8376.000213623047,8776.343078613281,20040.173492431644
2021-11-02,43308.89892578125,30239.00146484375,8358.000183105469,8792.824401855469,20102.46597290039
2021-11-03,43573.30932617188,30560.0,8288.500213623047,8777.373962402344,20244.71282958984
2021-11-04,43778.64685058594,30951.73583984375,8382.499694824219,8817.552795410156,20321.305389404297
2021-11-05,43930.53588867188,30981.27197265625,8491.999816894531,8844.340209960938,20399.582977294922
2021-11-08,43968.05114746094,30939.3017578125,8522.49984741211,8824.767150878906,20433.25057983398
2021-11-09,43822.71728515625,30726.33544921875,8564.49966430664,8849.49462890625,20374.332275390625
2021-11-10,43470.166015625,30274.755859375,8657.499694824219,8789.734497070312,20174.007568359375
2021-11-11,43484.22546386719,30358.696289062504,8705.999755859375,8775.311279296875,20198.415069580078
2021-11-12,43812.396240234375,30678.15673828125,8722.49984741211,8776.343078613281,20348.23974609375
2021-11-15,43827.40478515625,30671.14501953125,8708.999633789062,8740.278625488281,20348.23974609375
2021-11-16,44000.86364746094,30889.56298828125,8645.999908447266,8734.096984863281,20435.77606201172
2021-11-17,43893.98193359375,30905.87646484375,8725.0,8752.642822265625,20351.608428955078
2021-11-18,44043.06335449219,31226.11083984375,8697.000122070312,8762.949829101562,20383.595123291012
2021-11-19,43964.29748535156,31400.20751953125,8630.500030517578,8781.492004394531,20325.51177978516
2021-11-22,43840.53649902344,31035.678710937504,8437.000274658203,8738.2177734375,20227.87628173828
2021-11-23,43898.675537109375,30894.21875,8363.999938964844,8703.189697265625,20234.608154296875
2021-11-24,44015.87219238281,30993.70849609375,8355.999755859375,8723.792724609375,20302.786560058597
2021-11-26,43034.17053222656,30406.10595703125,8342.500305175781,8785.611877441406,19863.419952392578
2021-11-29,43562.060546875,31065.991210937504,8330.999755859375,8784.584655761719,20050.276794433597
2021-11-30,42714.447021484375,30609.73876953125,8275.0,8801.069641113281,19649.620513916012
2021-12-01,42240.00549316406,30088.98193359375,8308.000183105469,8806.7431640625,19372.70599365234
2021-12-02,42886.96594238281,30305.83984375,8262.000274658203,8807.773132324219,19687.501373291012
2021-12-03,42513.78784179688,29778.86474609375,8331.500244140625,8841.831665039062,19459.396362304688
2021-12-06,43017.30346679688,30017.47802734375,8311.000061035156,8818.099365234375,19709.384765625
2021-12-07,43907.1044921875,30921.42333984375,8340.499877929688,8798.489685058594,20131.077117919922
2021-12-08,44023.36730957031,31059.775390625,8344.999694824219,8771.658325195312,20217.772979736328
2021-12-09,43726.13830566406,30602.75146484375,8294.000244140625,8775.785522460938,20025.02197265625
2021-12-10,44137.76245117188,30935.41748046875,8329.000091552734,8778.883666992188,20161.377410888672
2021-12-13,43746.77429199219,30488.49609375,8350.0,8808.813171386719,19977.886505126953
2021-12-14,43445.78857421875,30172.93212890625,8272.000122070312,8794.361572265625,19828.06732177734
2021-12-15,44124.63684082031,30860.79833984375,8307.499694824219,8783.009033203125,20133.603973388672
2021-12-16,43735.51330566406,30067.2265625,8408.000183105469,8794.361572265625,19908.02719116211
2021-12-17,43270.04089355469,29917.21435546875,8390.00015258789,8809.840393066406,19817.123565673828
2021-12-20,42809.9365234375,29627.00927734375,8354.499816894531,8795.392456054688,19538.517150878903
2021-12-21,43570.19653320313,30290.07080078125,8351.000213623047,8786.104431152344,19921.492309570312
2021-12-22,44005.84411621094,30658.959960937504,8429.499816894531,8795.392456054688,20118.45245361328
2021-12-23,44279.64782714844,30890.10009765625,8448.500061035156,8782.034912109375,20257.33612060547
2021-12-27,44906.298828125,31400.634765625,8468.499755859375,8786.1767578125,20523.342590332028
2021-12-28,44869.61059570313,31255.10009765625,8431.999969482422,8785.142211914062,20481.104278564453
2021-12-29,44927.00500488281,31250.4248046875,8429.499816894531,8756.156616210938,20492.92831420898
2021-12-30,44802.80151367188,31157.041015625,8490.00015258789,8775.82763671875,20459.98443603516
2021-12-31,44689.892578125,30962.48046875,8548.00033569336,8773.7548828125,20394.939880371097
2022-01-03,44948.64196777344,31260.537109375,8416.500091552734,8714.746398925781,20524.183044433597
2022-01-04,44933.59680175781,30855.07568359375,8478.500366210938,8713.7109375,20485.32440185547
2022-01-05,44070.76110839844,29907.18017578125,8452.999877929688,8683.687133789062,20041.002960205078
2022-01-06,44029.36401367188,29886.162109375,8349.500274658203,8674.368896484375,20035.935516357422
2022-01-07,43855.29479980469,29562.41455078125,8387.5,8650.5615234375,19944.700927734375
2022-01-10,43800.72937011719,29581.87255859375,8412.999725341797,8643.315124511719,19910.06927490234
2022-01-11,44199.67346191406,30026.2451171875,8514.49966430664,8660.913391113281,20108.58123779297
2022-01-12,44319.16809082031,30145.3173828125,8537.000274658203,8657.808837890625,20139.834594726562
2022-01-13,43708.51440429688,29391.19873046875,8508.000183105469,8672.304382324219,19845.026092529297
2022-01-14,43726.38854980469,29574.086914062504,8483.499908447266,8624.678649902344,19852.631378173828
2022-01-18,42952.00805664063,28837.866210937504,8469.499969482422,8570.847473144531,19466.593780517578
2022-01-19,42506.02111816406,28521.123046875,8604.000091552734,8591.55029296875,19262.164306640625
2022-01-20,42035.55908203125,28150.68115234375,8582.499694824219,8600.869445800781,19037.47055053711
2022-01-21,41210.37292480469,27370.1025390625,8554.499816894531,8632.958679199219,18660.730133056644
2022-01-24,41385.38818359375,27495.390625,8601.499938964844,8619.505004882812,18780.681610107422
2022-01-25,40880.11474609375,26858.01513671875,8629.000091552734,8608.114929199219,18517.97103881836
2022-01-26,40777.55432128906,26815.9814453125,8489.49966430664,8560.494689941406,18446.16714477539
2022-01-27,40576.19018554688,26545.93505859375,8380.000305175781,8588.445739746094,18309.324188232422
2022-01-28,41583.91723632813,27378.65234375,8355.000305175781,8598.80126953125,18760.40496826172
2022-01-31,42332.88879394531,28254.1845703125,8404.499816894531,8592.59033203125,19159.11117553711
2022-02-01,42618.93005371094,28446.40625,8411.499786376953,8589.167175292969,19305.25131225586
2022-02-02,43032.93151855469,28677.548828125,8441.999816894531,8601.608276367188,19432.80258178711
2022-02-03,42021.44470214844,27514.8486328125,8430.000305175781,8565.312194824219,18970.74234008789
2022-02-04,42219.04296875,27861.94580078125,8443.000030517578,8512.431335449219,19096.603088378903
2022-02-07,42083.54187011719,27637.81005859375,8505.500030517578,8519.687805175781,19048.452758789062
2022-02-08,42429.80651855469,27948.3349609375,8531.500244140625,8491.690063476562,19223.311157226562
2022-02-09,43050.80871582031,28540.576171875,8560.50033569336,8497.911987304688,19535.859832763672
2022-02-10,42277.37426757813,27894.63623046875,8527.999877929688,8420.139770507812,19204.729156494144
2022-02-11,41443.7255859375,27009.76806640625,8690.499877929688,8475.103454589844,18832.204742431644
2022-02-14,41308.23364257813,27043.232421875,8737.000274658203,8427.395324707031,18762.938690185547
2022-02-15,41974.39575195313,27715.634765625,8654.000091552734,8409.769592285156,19096.603088378903
2022-02-16,42021.44470214844,27708.63525390625,8743.000030517578,8421.177978515625,19114.34326171875
2022-02-17,41123.80676269531,26884.47265625,8862.5,8439.841003417969,18680.158081054688
2022-02-18,40857.525634765625,26577.846679687496,8855.999755859375,8454.359436035156,18530.641021728512
2022-02-22,40419.0673828125,26310.908203125,8874.500274658203,8449.172973632812,18317.774047851562
2022-02-23,39702.08129882813,25636.94580078125,8914.49966430664,8406.659545898438,17980.725860595703
2022-02-24,40299.560546875,26498.45947265625,8856.999969482422,8425.325317382812,18295.808258056644
2022-02-25,41188.72680664063,26909.37255859375,8827.50015258789,8432.583618164062,18702.964324951172
2022-02-28,41083.34655761719,26989.53369140625,8919.000244140625,8494.8046875,18682.691802978512
2022-03-01,40457.63244628906,26576.284179687496,9080.999755859375,8539.358825683594,18391.26434326172
2022-03-02,41201.90124511719,27022.221679687496,8986.499786376953,8434.458618164062,18740.132446289062
2022-03-03,40996.783447265625,26636.21337890625,9040.00015258789,8471.84326171875,18597.37335205078
2022-03-04,40663.70544433594,26250.20263671875,9183.999633789062,8501.968688964844,18411.536865234375
2022-03-07,39464.9658203125,25282.06298828125,9320.500183105467,8460.422973632812,17843.88153076172
2022-03-08,39165.76232910156,25164.55322265625,9575.499725341799,8420.958251953125,17743.362121582028
2022-03-09,40215.82336425781,26070.42724609375,9291.000366210938,8398.108520507812,18235.83389282227
